440,97,27,31
440,107,29,20
446,106,21,27
447,112,25,21
448,108,22,31
450,109,20,24
447,112,24,23
449,111,21,29
449,108,26,32
454,106,24,30
450,114,32,24
456,112,27,24
459,112,25,23
460,112,24,23
465,112,29,26
464,115,28,26
469,112,26,26
472,114,26,24
470,115,33,22
477,114,26,24
475,112,30,27
483,114,26,26
485,113,24,28
487,115,24,26
489,116,21,26
487,114,26,26
497,121,16,18
495,119,24,22
497,115,22,25
498,115,22,27
500,115,23,26
498,113,25,26
504,120,21,20
505,116,28,28
506,118,27,24
510,118,22,25
510,114,24,30
515,118,20,25
513,119,26,25
515,117,25,27
516,115,24,29
523,119,19,23
522,121,21,27
525,118,24,25
525,118,23,28
527,120,26,31
528,119,29,28
535,121,18,27
534,119,24,29
534,121,28,25
535,122,28,28
537,119,26,27
538,121,23,26
538,117,27,32
539,124,24,23
539,126,26,21
537,120,28,30
540,122,23,32
541,125,26,24
539,121,26,34
542,127,23,27
541,125,26,25
543,122,19,32
541,127,24,27
541,123,22,31
540,126,23,26
539,125,25,31
538,128,28,25
539,123,22,32
536,130,23,21
535,122,25,32
539,129,24,24
537,128,27,26
537,131,25,23
537,129,28,26
535,131,23,25
537,131,29,28
533,127,33,35
531,127,32,27
535,131,21,24
534,129,25,25
537,130,25,28
533,128,29,31
535,131,30,23
533,132,27,29
534,127,30,31
538,131,27,32
538,131,24,30
535,129,26,30
531,133,30,28
535,132,28,32
539,133,27,30
537,131,24,30
530,128,31,36
538,132,22,32
541,135,23,30
540,134,26,30
540,135,23,26
538,133,23,37
544,135,20,29
540,138,25,23
538,139,28,25
538,141,25,20
540,140,28,24
540,142,22,22
540,145,23,16
541,138,25,25
538,135,33,36
537,140,24,24
540,141,27,27
537,137,30,30
537,142,27,29
538,144,27,25
544,133,19,33
541,140,20,24
533,141,40,23
542,140,22,24
540,141,26,24
536,136,29,31
542,141,20,24
541,144,23,20
542,139,19,29
542,143,24,22
536,139,30,27
538,145,28,24
538,143,27,25
540,142,25,25
538,139,26,31
539,153,21,17
531,141,31,33
534,145,29,26
534,140,29,31
540,146,18,21
536,143,25,28
536,146,22,26
535,146,29,28
533,145,28,27
538,149,25,24
535,146,27,27
537,154,25,20
538,150,20,20
535,144,27,29
537,150,25,28
536,153,24,21
534,150,24,25
532,149,28,26
531,147,33,34
532,150,25,25
532,152,28,26
534,152,22,22
536,154,19,22
532,154,24,24
538,161,25,20
535,155,23,24
536,158,22,24
534,154,22,23
532,155,28,28
528,152,35,31
529,155,31,23
530,151,32,40
529,155,29,28
533,158,23,27
528,160,32,28
529,159,28,27
533,162,24,26
531,160,29,27
533,158,21,32
532,162,19,27
534,165,21,20
534,167,20,21
524,159,36,32
529,165,29,24
526,158,33,36
529,162,27,30
529,165,23,25
526,160,30,32
530,164,24,30
526,161,28,33
526,160,29,37
529,165,25,29
530,167,25,24
517,163,43,39
525,164,31,33
526,162,25,39
524,161,29,34
526,167,24,30
525,169,28,32
527,168,25,32
522,170,29,31
526,169,27,30
525,169,21,30
527,169,24,34
527,171,24,28
520,171,26,31
521,171,30,31
525,172,25,32
